Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/kitp.jpg
UCSC,"A university located in Santa Cruz, CA",36.987705,-122.058209,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Cruz",https://coarchitects.com/wp-content/uploads/2015/05/UCSC-Engineering-09.jpg
UCSD,"A university located in San Diego, CA",32.88006,-117.234014,"https://en.wikipedia.org/wiki/University_of_California,_San_Diego",https://ca-times.brightspotcdn.com/dims4/default/d71bc12/2147483647/strip/true/crop/2400x1597+0+0/resize/1486x989!/quality/90/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F7c%2F61%2Fcce1f7a04e4b9eed00eeec67df66%2Faerial-view-uc-san-diego-to-west-2.jpg
UC Berkeley,"A university located in Berkeley, CA",37.871899,-122.25854,"https://en.wikipedia.org/wiki/University_of_California,_Berkeley",https://www.berkeleyside.com/wp-content/uploads/2020/04/1920px-UCBerkeleyCampus.jpg
UCLA,"A university located in Los Angeles, CA",34.068921,-118.445181,"https://en.wikipedia.org/wiki/University_of_California,_Los_Angeles",https://s3.amazonaws.com/cms.ipressroom.com/173/files/20201/5e546fa02cfac215af338e58_Janss+Steps+by+Patricia+Marroquin/Janss+Steps+by+Patricia+Marroquin_5a0d4865-02c5-46e8-828a-1a41476efa22-prv.jpg
UC Davis,"A university located in Davis, CA",38.538232,-121.556479,"https://en.wikipedia.org/wiki/University_of_California,_Davis",https://www.ucdavis.edu/sites/default/files/styles/panopoly_image_full/public/images/article/mrak-hall-mall-walk-to-administration-building.jpg?itok=sClabrKN
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,